# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415223174;494116;263625440;99.81;108004;234996588;97800440;35.73;166978252;87064244
axle;60;1415223234;2191240;261928316;99.17;100692;229170384;102098168;37.30;165479692;86937816
axle;60;1415223294;3453756;260665800;98.69;99996;226736148;103303716;37.75;165908556;85224420
axle;60;1415223354;6264672;257854884;97.63;99936;224664636;102705340;37.53;165621404;82776036
axle;60;1415223414;8407924;255711632;96.82;100172;224774100;100331208;36.66;163384868;82871252
axle;60;1415223474;7491912;256627644;97.16;100392;225310580;100906772;36.87;164170632;83013216
axle;60;1415223534;5270028;258849528;98.00;100596;226731072;101643476;37.14;165099472;84293928
axle;60;1415223594;1944260;262175296;99.26;99052;227627644;104000736;38.00;167525352;85183544
axle;60;1415223654;4183568;259935988;98.42;98500;225531332;104015256;38.01;166568424;83922724
axle;60;1415223714;4980576;259138980;98.11;98704;224090708;104692036;38.25;167151492;82534524
axle;60;1415223774;10088176;254031380;96.18;98928;222150456;101472320;37.08;164199288;80399472
axle;60;1415223834;14377952;249741604;94.56;99144;221930500;97343856;35.57;160331624;79900964
axle;60;1415223894;11179784;252939772;95.77;99340;221688384;100909880;36.87;164076064;79438212
axle;60;1415223954;8797140;255322416;96.67;99540;221901772;103030748;37.65;166426124;79469860
axle;60;1415224014;8691920;255427636;96.71;99732;222790236;102228952;37.35;165889156;80107604
axle;60;1415224074;10084732;254034824;96.18;99932;223585932;100099176;36.57;163835656;80724568
axle;60;1415224134;11052132;253067424;95.82;100132;223830476;98948640;36.15;162868032;80758392
axle;60;1415224194;6363124;257756432;97.59;100440;224449400;103028588;37.64;167188664;81145596
axle;60;1415224254;8153436;255966120;96.91;100652;224264244;101398080;37.05;165710276;80796428
axle;60;1415224314;8655376;255464180;96.72;100872;224505552;100533664;36.73;165155592;80831704
axle;60;1415224374;7973500;256146056;96.98;101076;224292132;101713204;37.16;166669180;80052244
axle;60;1415224434;10076436;254043120;96.18;101280;224181072;99880936;36.49;164464232;80146852
axle;60;1415224494;6030280;258089276;97.72;101488;225109248;102759264;37.55;167778108;80871944
axle;60;1415224554;7598572;256520984;97.12;101724;225357572;100951560;36.89;166160864;80938092
axle;60;1415224614;6116524;258003032;97.68;101948;224755740;102898544;37.60;168439844;80139904
axle;60;1415224674;10862716;253256840;95.89;102176;224551500;98243936;35.90;164017828;79718500
axle;60;1415224734;10677548;253442008;95.96;102376;224735892;98322796;35.93;164222064;79752332
axle;60;1415224794;8756768;255362788;96.68;102584;225883556;99138736;36.22;165192624;80721256
axle;60;1415224854;6189468;257930088;97.66;102796;226403736;101161860;36.96;167443992;81056128
axle;60;1415224914;2698228;261421328;98.98;102832;227811636;103257176;37.73;169281456;82667368
axle;60;1415224974;1989168;262130388;99.25;103020;229401520;102291312;37.38;168363088;84180508
axle;60;1415225034;2341564;261777992;99.11;103216;229135136;102207560;37.34;168515992;83743928
axle;60;1415225094;3642964;260476592;98.62;103564;229770304;100222344;36.62;166777244;84189340
axle;60;1415225154;2371008;261748548;99.10;103716;228488172;102791764;37.56;169334060;82897424
axle;60;1415225214;3392232;260727324;98.72;103876;228121440;102159904;37.33;168699376;82507964
axle;60;1415225274;2339448;261780108;99.11;104056;228492912;102834216;37.57;169351632;82901128
axle;60;1415225334;621940;263497616;99.76;101200;227307412;105758276;38.64;169751824;84232972
axle;60;1415225394;4498128;259621428;98.30;101380;227121292;101896096;37.23;166092604;83983920
axle;60;1415225454;4979224;259140332;98.11;101488;227329632;101186872;36.97;165545388;84088820
axle;60;1415225514;5886164;258233392;97.77;101608;225343268;102441056;37.43;166705228;82028228
axle;60;1415225574;16138576;247980980;93.89;91476;223479332;94177716;34.41;158361152;80304776
axle;60;1415225634;19863192;244256364;92.48;91664;223775776;90543152;33.08;154760792;80375124
axle;60;1415225694;19650936;244468620;92.56;91840;224075068;90225200;32.97;154914372;80455940
axle;60;1415225754;19394556;244725000;92.66;92012;224328940;90239308;32.97;155112160;80510236
axle;60;1415225814;19110800;245008756;92.76;92180;224613660;90210164;32.96;155328340;80580788
axle;60;1415225874;18834908;245284648;92.87;92380;224897928;90208656;32.96;155551332;80639920
axle;12298;1415238172;18836620;245282936;92.87;233760;225168192;90215668;32.96;153788956;82160936
axle;60;1415238232;630664;263488892;99.76;233860;235940832;97336292;35.56;168872932;84935080
axle;60;1415238292;4684596;259434960;98.23;230820;231752236;97399884;35.59;167140220;82558440
axle;60;1415238352;6404780;257714776;97.58;231044;231221172;96689880;35.33;166155884;81962108
axle;60;1415238412;5815924;258303632;97.80;231212;231224580;97004312;35.44;166917276;81784368
axle;60;1415238472;5802912;258316644;97.80;231436;231079140;97136572;35.49;167504508;81226636
axle;60;1415238532;7942452;256177104;96.99;231620;230076044;95997788;35.08;166541916;79965920
axle;60;1415238592;8707680;255411876;96.70;231836;230315796;94969468;34.70;165930976;79823900
axle;60;1415238652;3615248;260504308;98.63;232020;230510516;99967460;36.53;171064800;79789264
axle;60;1415238712;6718652;257400904;97.46;232168;231470960;96174692;35.14;167222392;80532064
axle;60;1415238772;4651756;259467800;98.24;232384;232248516;97343540;35.57;168836424;81036816
axle;60;1415238832;8092068;256027488;96.94;232588;231193976;94844496;34.65;166639304;79732824
axle;60;1415238892;7430332;256689224;97.19;232768;231446472;95287360;34.82;167342332;79737072
axle;60;1415238952;7251824;256867732;97.25;232984;231677436;95201260;34.78;167469556;79729636
axle;60;1415239012;6233572;257885984;97.64;233188;232454420;95351712;34.84;167981488;80256300
axle;60;1415239072;3969320;260150236;98.50;233504;234479604;95719712;34.97;168361776;82146668
axle;60;1415239132;2325608;261793948;99.12;233688;235213584;96410752;35.23;169283452;82794436
axle;60;1415239192;3379364;260740192;98.72;233912;234065492;96586896;35.29;169449616;81648960
axle;60;1415239252;4190256;259929300;98.41;372196;233587120;95889968;35.04;168909596;81070672
axle;60;1415239312;2551144;261568412;99.03;372412;233782312;97227516;35.53;170596784;81061688
axle;60;1415239372;2579112;261540444;99.02;371248;233282660;97699576;35.70;168927776;82638428
axle;60;1415239432;10485764;253633792;96.03;371372;230845332;92524316;33.81;163770904;80143416
