# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415223174;-1;25.25;0.00;4.70;0.34;0.00;69.70
axle;60;1415223174;0;52.60;0.00;10.53;0.07;0.00;36.79
axle;60;1415223174;1;42.42;0.00;9.73;0.03;0.00;47.82
axle;60;1415223174;2;37.62;0.00;10.54;2.23;0.00;49.61
axle;60;1415223174;3;42.79;0.00;9.87;0.17;0.00;47.17
axle;60;1415223174;4;39.04;0.00;9.97;0.12;0.00;50.87
axle;60;1415223174;5;41.78;0.00;9.21;2.36;0.00;46.65
axle;60;1415223174;6;40.46;0.00;10.80;1.53;0.00;47.21
axle;60;1415223174;7;39.21;0.00;9.40;0.12;0.00;51.27
axle;60;1415223174;8;58.96;0.00;1.20;0.00;0.00;39.84
axle;60;1415223174;9;11.97;0.00;3.56;0.02;0.00;84.45
axle;60;1415223174;10;12.25;0.00;2.87;0.03;0.00;84.84
axle;60;1415223174;11;10.52;0.00;3.04;0.05;0.00;86.39
axle;60;1415223174;12;10.59;0.00;2.48;0.05;0.00;86.88
axle;60;1415223174;13;10.27;0.00;3.15;0.08;0.00;86.49
axle;60;1415223174;14;11.16;0.00;2.48;0.03;0.00;86.32
axle;60;1415223174;15;10.50;0.00;2.50;0.03;0.00;86.97
axle;60;1415223174;16;34.53;0.00;4.65;1.67;0.00;59.15
axle;60;1415223174;17;28.04;0.00;5.79;0.46;0.00;65.72
axle;60;1415223174;18;64.19;0.00;2.41;0.07;0.00;33.33
axle;60;1415223174;19;27.48;0.00;6.75;0.51;0.00;65.26
axle;60;1415223174;20;28.87;0.00;6.49;0.39;0.00;64.25
axle;60;1415223174;21;30.06;0.00;5.32;0.19;0.00;64.44
axle;60;1415223174;22;33.31;0.00;6.32;0.03;0.00;60.34
axle;60;1415223174;23;32.41;0.00;6.98;0.49;0.00;60.11
axle;60;1415223174;24;62.16;0.00;2.78;0.02;0.00;35.04
axle;60;1415223174;25;19.04;0.00;3.50;0.03;0.00;77.42
axle;60;1415223174;26;25.28;0.00;3.14;0.02;0.00;71.57
axle;60;1415223174;27;40.95;0.00;3.59;0.02;0.00;55.43
axle;60;1415223174;28;17.52;0.00;3.30;0.03;0.00;79.14
axle;60;1415223174;29;16.21;0.00;3.68;0.00;0.00;80.11
axle;60;1415223174;30;18.11;0.00;3.72;0.02;0.00;78.16
axle;60;1415223174;31;17.45;0.00;3.49;0.02;0.00;79.05
axle;60;1415223174;32;33.73;0.00;7.09;0.00;0.00;59.18
axle;60;1415223174;33;34.56;0.00;7.55;1.15;0.00;56.75
axle;60;1415223174;34;34.27;0.00;9.34;2.54;0.00;53.86
axle;60;1415223174;35;30.22;0.00;7.63;0.12;0.00;62.04
axle;60;1415223174;36;36.73;0.00;6.72;3.20;0.00;53.34
axle;60;1415223174;37;34.79;0.00;8.48;0.03;0.00;56.69
axle;60;1415223174;38;31.05;0.00;6.65;3.10;0.00;59.20
axle;60;1415223174;39;32.24;0.00;9.18;0.02;0.00;58.57
axle;60;1415223174;40;15.19;0.00;1.09;0.02;0.00;83.71
axle;60;1415223174;41;7.13;0.00;1.76;0.02;0.00;91.10
axle;60;1415223174;42;8.55;0.00;1.95;0.00;0.00;89.50
axle;60;1415223174;43;7.15;0.00;1.62;0.02;0.00;91.21
axle;60;1415223174;44;10.12;0.00;2.27;0.00;0.00;87.61
axle;60;1415223174;45;7.13;0.00;1.44;0.00;0.00;91.43
axle;60;1415223174;46;8.20;0.00;1.94;0.00;0.00;89.86
axle;60;1415223174;47;7.19;0.00;1.87;0.02;0.00;90.92
axle;60;1415223174;48;22.54;0.00;3.66;0.17;0.00;73.63
axle;60;1415223174;49;23.13;0.00;4.17;0.02;0.00;72.67
axle;60;1415223174;50;19.03;0.00;4.39;0.51;0.00;76.08
axle;60;1415223174;51;24.15;0.00;4.50;0.02;0.00;71.34
axle;60;1415223174;52;20.36;0.00;3.99;0.03;0.00;75.61
axle;60;1415223174;53;25.09;0.00;4.61;0.02;0.00;70.28
axle;60;1415223174;54;24.95;0.00;3.94;0.05;0.00;71.06
axle;60;1415223174;55;23.41;0.00;4.94;0.07;0.00;71.59
axle;60;1415223174;56;8.90;0.00;1.65;0.00;0.00;89.45
axle;60;1415223174;57;16.25;0.00;2.03;0.02;0.00;81.71
axle;60;1415223174;58;38.84;0.00;2.01;0.02;0.00;59.14
axle;60;1415223174;59;13.22;0.00;2.58;0.00;0.00;84.20
axle;60;1415223174;60;13.56;0.00;2.09;0.02;0.00;84.33
axle;60;1415223174;61;13.39;0.00;2.31;0.00;0.00;84.30
axle;60;1415223174;62;14.67;0.00;2.65;0.00;0.00;82.69
axle;60;1415223174;63;11.76;0.00;2.69;0.00;0.00;85.54
axle;60;1415223234;-1;27.57;0.00;3.79;0.19;0.00;68.45
axle;60;1415223234;0;53.56;0.00;7.59;0.00;0.00;38.85
axle;60;1415223234;1;47.07;0.00;9.61;0.00;0.00;43.32
axle;60;1415223234;2;52.68;0.00;5.80;0.00;0.00;41.52
axle;60;1415223234;3;45.72;0.00;6.44;0.00;0.00;47.84
axle;60;1415223234;4;48.34;0.00;7.64;0.00;0.00;44.02
axle;60;1415223234;5;49.25;0.00;6.90;0.00;0.00;43.85
axle;60;1415223234;6;50.95;0.00;8.90;0.00;0.00;40.15
axle;60;1415223234;7;49.59;0.00;6.47;0.00;0.00;43.94
axle;60;1415223234;8;28.58;0.00;5.01;2.17;0.00;64.24
axle;60;1415223234;9;24.37;0.00;2.67;0.00;0.00;72.96
axle;60;1415223234;10;32.79;0.00;2.22;0.00;0.00;64.99
axle;60;1415223234;11;21.37;0.00;4.41;0.07;0.00;74.16
axle;60;1415223234;12;23.08;0.00;3.00;0.02;0.00;73.90
axle;60;1415223234;13;25.63;0.00;2.89;0.00;0.00;71.48
axle;60;1415223234;14;22.92;0.00;3.44;0.00;0.00;73.64
axle;60;1415223234;15;20.29;0.00;2.68;0.00;0.00;77.02
axle;60;1415223234;16;21.39;0.00;3.64;0.12;0.00;74.85
axle;60;1415223234;17;20.42;0.00;4.33;0.13;0.00;75.11
axle;60;1415223234;18;20.31;0.00;4.73;0.15;0.00;74.81
axle;60;1415223234;19;20.97;0.00;2.88;0.10;0.00;76.04
axle;60;1415223234;20;23.27;0.00;3.41;0.67;0.00;72.65
axle;60;1415223234;21;21.44;0.00;3.39;0.13;0.00;75.03
axle;60;1415223234;22;22.11;0.00;2.72;0.00;0.00;75.17
axle;60;1415223234;23;21.56;0.00;2.89;0.00;0.00;75.55
axle;60;1415223234;24;39.96;0.00;3.63;0.00;0.00;56.40
axle;60;1415223234;25;27.42;0.00;4.57;2.51;0.00;65.49
axle;60;1415223234;26;26.76;0.00;3.82;0.02;0.00;69.41
axle;60;1415223234;27;58.80;0.00;1.34;0.00;0.00;39.86
axle;60;1415223234;28;27.73;0.00;4.53;0.94;0.00;66.80
axle;60;1415223234;29;31.42;0.00;3.31;0.00;0.00;65.27
axle;60;1415223234;30;26.23;0.00;4.31;0.79;0.00;68.67
axle;60;1415223234;31;26.23;0.00;3.11;0.00;0.00;70.65
axle;60;1415223234;32;39.44;0.00;4.56;0.00;0.00;56.00
axle;60;1415223234;33;37.66;0.00;5.73;0.00;0.00;56.61
axle;60;1415223234;34;40.24;0.00;4.90;0.00;0.00;54.85
axle;60;1415223234;35;41.31;0.00;5.46;0.84;0.00;52.39
axle;60;1415223234;36;38.19;0.00;4.45;0.00;0.00;57.36
axle;60;1415223234;37;39.84;0.00;5.05;0.00;0.00;55.11
axle;60;1415223234;38;35.44;0.00;4.69;0.00;0.00;59.87
axle;60;1415223234;39;33.47;0.00;7.44;0.00;0.00;59.08
axle;60;1415223234;40;13.11;0.00;2.12;0.08;0.00;84.68
axle;60;1415223234;41;17.42;0.00;3.26;0.00;0.00;79.32
axle;60;1415223234;42;12.93;0.00;2.28;0.02;0.00;84.77
axle;60;1415223234;43;21.43;0.00;2.59;0.00;0.00;75.98
axle;60;1415223234;44;20.19;0.00;2.04;0.00;0.00;77.77
axle;60;1415223234;45;17.32;0.00;1.86;0.00;0.00;80.82
axle;60;1415223234;46;17.88;0.00;2.44;0.00;0.00;79.68
axle;60;1415223234;47;18.58;0.00;2.96;0.00;0.00;78.46
axle;60;1415223234;48;19.68;0.00;1.91;1.00;0.00;77.41
axle;60;1415223234;49;14.80;0.00;1.81;0.03;0.00;83.36
axle;60;1415223234;50;14.71;0.00;1.66;0.08;0.00;83.55
axle;60;1415223234;51;16.59;0.00;2.76;0.33;0.00;80.32
axle;60;1415223234;52;19.41;0.00;2.84;0.00;0.00;77.75
axle;60;1415223234;53;14.66;0.00;1.99;0.05;0.00;83.29
axle;60;1415223234;54;13.78;0.00;1.41;0.00;0.00;84.82
axle;60;1415223234;55;14.01;0.00;1.91;0.07;0.00;84.02
axle;60;1415223234;56;20.79;0.00;2.94;0.00;0.00;76.27
axle;60;1415223234;57;21.82;0.00;4.09;0.00;0.00;74.09
axle;60;1415223234;58;25.90;0.00;1.86;0.00;0.00;72.24
axle;60;1415223234;59;8.41;0.00;1.67;0.02;0.00;89.90
axle;60;1415223234;60;16.17;0.00;3.89;1.94;0.00;78.00
axle;60;1415223234;61;15.25;0.00;1.71;0.00;0.00;83.04
axle;60;1415223234;62;22.28;0.00;4.10;0.00;0.00;73.61
axle;60;1415223234;63;32.41;0.00;2.19;0.00;0.00;65.40
axle;60;1415223294;-1;21.89;0.00;3.89;0.03;0.00;74.19
axle;60;1415223294;0;47.90;0.00;9.37;0.00;0.00;42.73
axle;60;1415223294;1;50.44;0.00;6.10;0.02;0.00;43.44
axle;60;1415223294;2;45.13;0.00;6.02;0.02;0.00;48.83
axle;60;1415223294;3;44.39;0.00;7.22;0.00;0.00;48.40
axle;60;1415223294;4;46.37;0.00;6.64;0.00;0.00;46.98
axle;60;1415223294;5;44.10;0.00;6.27;0.08;0.00;49.54
axle;60;1415223294;6;43.14;0.00;6.82;0.00;0.00;50.04
axle;60;1415223294;7;41.04;0.00;7.76;0.08;0.00;51.11
axle;60;1415223294;8;17.49;0.00;3.81;0.00;0.00;78.69
axle;60;1415223294;9;7.44;0.00;4.12;0.00;0.00;88.44
axle;60;1415223294;10;9.99;0.00;4.61;0.05;0.00;85.35
axle;60;1415223294;11;11.28;0.00;2.75;0.00;0.00;85.97
axle;60;1415223294;12;9.89;0.00;2.48;0.00;0.00;87.63
axle;60;1415223294;13;10.66;0.00;2.08;0.00;0.00;87.26
axle;60;1415223294;14;9.82;0.00;1.93;0.00;0.00;88.25
axle;60;1415223294;15;9.13;0.00;2.05;0.00;0.00;88.82
axle;60;1415223294;16;17.05;0.00;3.85;0.13;0.00;78.96
axle;60;1415223294;17;24.92;0.00;2.82;0.03;0.00;72.22
axle;60;1415223294;18;17.58;0.00;5.20;0.10;0.00;77.12
axle;60;1415223294;19;15.35;0.00;3.11;0.20;0.00;81.33
axle;60;1415223294;20;18.61;0.00;3.56;0.03;0.00;77.79
axle;60;1415223294;21;16.51;0.00;2.79;0.00;0.00;80.70
axle;60;1415223294;22;14.64;0.00;5.73;0.29;0.00;79.34
axle;60;1415223294;23;18.01;0.00;3.68;0.03;0.00;78.28
axle;60;1415223294;24;85.54;0.00;0.53;0.00;0.00;13.93
axle;60;1415223294;25;19.70;0.00;5.01;0.00;0.00;75.28
axle;60;1415223294;26;18.36;0.00;3.90;0.00;0.00;77.74
axle;60;1415223294;27;19.25;0.00;3.87;0.00;0.00;76.88
axle;60;1415223294;28;18.98;0.00;3.30;0.02;0.00;77.70
axle;60;1415223294;29;17.10;0.00;5.27;0.00;0.00;77.62
axle;60;1415223294;30;16.26;0.00;3.24;0.00;0.00;80.51
axle;60;1415223294;31;17.52;0.00;4.47;0.00;0.00;78.01
axle;60;1415223294;32;38.31;0.00;6.61;0.00;0.00;55.08
axle;60;1415223294;33;37.93;0.00;6.57;0.02;0.00;55.49
axle;60;1415223294;34;38.65;0.00;6.28;0.00;0.00;55.07
axle;60;1415223294;35;38.23;0.00;5.47;0.12;0.00;56.18
axle;60;1415223294;36;39.35;0.00;5.74;0.02;0.00;54.90
axle;60;1415223294;37;41.12;0.00;6.22;0.02;0.00;52.64
axle;60;1415223294;38;40.32;0.00;6.04;0.00;0.00;53.63
axle;60;1415223294;39;38.91;0.00;7.23;0.00;0.00;53.87
axle;60;1415223294;40;5.83;0.00;1.20;0.00;0.00;92.96
axle;60;1415223294;41;16.30;0.00;2.01;0.00;0.00;81.69
axle;60;1415223294;42;7.17;0.00;1.91;0.07;0.00;90.86
axle;60;1415223294;43;7.75;0.00;0.87;0.00;0.00;91.38
axle;60;1415223294;44;7.75;0.00;1.32;0.00;0.00;90.93
axle;60;1415223294;45;8.21;0.00;3.68;0.00;0.00;88.11
axle;60;1415223294;46;7.68;0.00;2.36;0.00;0.00;89.96
axle;60;1415223294;47;7.50;0.00;1.79;0.00;0.00;90.71
axle;60;1415223294;48;17.67;0.00;2.43;0.10;0.00;79.80
axle;60;1415223294;49;10.44;0.00;4.30;0.15;0.00;85.11
axle;60;1415223294;50;13.87;0.00;2.60;0.00;0.00;83.53
axle;60;1415223294;51;14.09;0.00;2.28;0.00;0.00;83.63
axle;60;1415223294;52;13.34;0.00;1.94;0.00;0.00;84.72
axle;60;1415223294;53;15.12;0.00;2.08;0.02;0.00;82.79
axle;60;1415223294;54;13.86;0.00;1.64;0.00;0.00;84.50
axle;60;1415223294;55;12.72;0.00;2.90;0.35;0.00;84.02
axle;60;1415223294;56;7.54;0.00;1.49;0.03;0.00;90.93
axle;60;1415223294;57;13.76;0.00;4.04;0.00;0.00;82.20
axle;60;1415223294;58;13.06;0.00;3.46;0.00;0.00;83.49
axle;60;1415223294;59;14.71;0.00;2.32;0.12;0.00;82.86
