# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415221487;sdb;643.70;8117.87;290571.07;464.02;10.33;16.06;0.18;11.60
axle;60;1415221487;sda;2.23;0.00;42.67;19.10;0.00;0.00;0.00;0.00
axle;60;1415221547;sdb;560.52;8734.27;244173.47;451.20;6.44;11.49;0.19;10.39
axle;60;1415221547;sda;1.67;0.00;27.20;16.32;0.00;0.08;0.08;0.01
axle;60;1415221607;sdb;515.45;8879.07;224385.33;452.55;9.28;18.00;0.21;11.06
axle;60;1415221607;sda;1.12;0.00;18.00;16.12;0.00;0.06;0.06;0.01
axle;60;1415221667;sdb;303.05;8631.47;107460.40;383.08;2.08;6.88;0.14;4.11
axle;60;1415221667;sda;0.87;0.00;13.47;15.54;0.00;0.00;0.00;0.00
axle;60;1415221727;sdb;360.30;8887.47;136360.53;403.13;3.04;8.43;0.16;5.77
axle;60;1415221727;sda;1.35;0.00;19.60;14.52;0.00;0.00;0.00;0.00
axle;60;1415221787;sdb;513.27;8691.20;223955.47;453.27;12.45;24.25;0.23;11.94
axle;60;1415221787;sda;1.20;0.00;21.33;17.78;0.00;0.06;0.06;0.01
axle;60;1415221847;sdb;432.55;8734.00;187497.60;453.66;9.72;22.47;0.25;10.96
axle;60;1415221847;sda;1.33;0.00;22.00;16.50;0.00;0.05;0.05;0.01
axle;60;1415221907;sdb;190.37;9467.73;42306.67;271.97;0.66;3.48;0.11;2.04
axle;60;1415221907;sda;1.13;0.00;16.40;14.47;0.00;0.00;0.00;0.00
axle;60;1415221967;sdb;280.72;8900.27;102810.00;397.95;5.37;19.13;0.20;5.58
axle;60;1415221967;sda;0.78;0.00;13.87;17.70;0.00;0.00;0.00;0.00
axle;60;1415222027;sdb;157.98;8221.87;24194.27;205.19;0.06;0.40;0.06;0.93
axle;60;1415222027;sda;1.23;0.00;17.73;14.38;0.00;0.00;0.00;0.00
axle;60;1415222087;sdb;245.48;8230.67;85373.20;381.30;2.60;10.61;0.14;3.40
axle;60;1415222087;sda;1.08;0.00;17.87;16.49;0.00;0.00;0.00;0.00
axle;60;1415222147;sdb;285.62;8780.80;99000.80;377.36;5.23;18.31;0.23;6.61
axle;60;1415222147;sda;1.53;0.00;24.80;16.17;0.00;0.17;0.17;0.03
axle;60;1415222207;sdb;248.10;8878.93;79337.07;355.57;3.02;12.19;0.14;3.46
axle;60;1415222207;sda;1.00;0.00;15.73;15.73;0.00;0.47;0.47;0.05
axle;60;1415222267;sdb;152.28;9250.13;25520.93;228.33;0.17;1.11;0.08;1.17
axle;60;1415222267;sda;1.27;0.00;20.67;16.32;0.00;0.05;0.05;0.01
axle;60;1415222327;sdb;186.93;8810.80;52259.20;326.69;0.88;4.69;0.15;2.87
axle;60;1415222327;sda;0.98;0.00;15.33;15.59;0.00;0.00;0.00;0.00
axle;14230;1415236558;sdb;523.97;7929.35;44608.68;100.27;1.92;3.67;0.06;3.04
axle;14230;1415236558;sda;23.27;420.70;463.98;38.01;0.25;10.58;0.54;1.25
axle;60;1415236618;sdb;619.65;8598.80;291830.93;484.84;1.71;2.77;0.19;11.63
axle;60;1415236618;sda;2.65;1.60;51.20;19.92;0.00;0.60;0.23;0.06
axle;60;1415236678;sdb;475.33;8878.67;206869.73;453.89;1.63;3.42;0.20;9.55
axle;60;1415236678;sda;1.53;0.00;26.27;17.13;0.00;0.04;0.04;0.01
axle;60;1415236738;sdb;467.58;9393.20;203703.60;455.74;4.30;9.20;0.21;9.69
axle;60;1415236738;sda;1.03;0.13;16.00;15.61;0.00;0.00;0.00;0.00
axle;60;1415236798;sdb;366.42;8117.47;154192.80;442.97;2.23;6.08;0.19;7.06
axle;60;1415236798;sda;0.98;0.00;15.60;15.86;0.00;0.00;0.00;0.00
axle;60;1415236858;sdb;273.87;9349.87;102063.73;406.82;0.28;1.02;0.13;3.69
axle;60;1415236858;sda;1.47;0.00;23.47;16.00;0.00;0.00;0.00;0.00
axle;60;1415236918;sdb;346.30;8735.33;141387.47;433.51;3.58;10.33;0.19;6.58
axle;60;1415236918;sda;0.95;0.00;15.60;16.42;0.00;0.00;0.00;0.00
axle;60;1415236978;sdb;503.60;7893.87;236756.27;485.80;14.19;28.19;0.28;13.85
axle;60;1415236978;sda;1.07;0.00;17.47;16.38;0.00;0.31;0.06;0.01
axle;60;1415237038;sdb;245.50;9470.40;86366.80;390.38;0.27;1.12;0.17;4.23
axle;60;1415237038;sda;1.02;0.00;16.00;15.74;0.00;0.00;0.00;0.00
axle;60;1415237098;sdb;202.37;8816.40;55103.73;315.86;0.23;1.12;0.14;2.89
axle;60;1415237098;sda;93.72;0.00;2811.07;30.00;0.12;1.24;0.13;1.22
axle;60;1415237158;sdb;497.05;8825.60;223323.73;467.05;1.80;3.63;0.25;12.33
axle;60;1415237158;sda;1.60;0.00;26.67;16.67;0.00;0.00;0.00;0.00
axle;60;1415237218;sdb;145.82;8871.20;34940.00;300.45;0.17;1.16;0.15;2.23
axle;60;1415237218;sda;1.13;0.00;18.27;16.12;0.00;0.00;0.00;0.00
axle;60;1415237278;sdb;149.50;8270.13;40090.27;323.48;0.12;0.80;0.14;2.03
axle;60;1415237278;sda;0.98;0.00;15.87;16.14;0.00;0.00;0.00;0.00
axle;60;1415237338;sdb;271.40;9137.73;99039.87;398.59;0.33;1.21;0.21;5.71
axle;60;1415237338;sda;1.13;0.00;16.67;14.71;0.00;0.00;0.00;0.00
