# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415221487;41780072;222339484;84.18;103288;201223856;90750792;33.16;134950552;78323948
axle;60;1415221547;36596956;227522600;86.14;103488;206792564;90386976;33.03;139285040;79170924
axle;60;1415221607;34822748;229296808;86.82;103652;208789372;90215240;32.96;141048744;79218220
axle;60;1415221667;32808116;231311440;87.58;103776;210806024;90231508;32.97;143023348;79259176
axle;60;1415221727;30783180;233336376;88.34;104004;212832108;90247664;32.97;145000448;79308288
axle;60;1415221787;25312272;238807284;90.42;104156;214082424;94411272;34.50;149661256;80105360
axle;60;1415221847;25462872;238656684;90.36;104316;215772748;92573048;33.82;148055016;81563872
axle;60;1415221907;24146976;239972580;90.86;104432;217087052;92589216;33.83;148287348;82646588
axle;60;1415221967;24120812;239998744;90.87;104564;217832808;91969224;33.60;147797784;83158196
axle;60;1415222027;22752928;241366628;91.39;104696;219010292;92066168;33.64;148198688;84132104
axle;60;1415222087;17024740;247094816;93.55;104876;220543116;96138588;35.13;152601640;85450948
axle;60;1415222147;15716068;248403488;94.05;105036;223686864;94318608;34.46;151410180;87951464
axle;60;1415222207;17732988;246386568;93.29;105212;224033752;91977044;33.61;148858040;88490400
axle;60;1415222267;16975840;247143716;93.57;105372;224792832;91977044;33.61;149567276;88540792
axle;60;1415222327;18281436;245838120;93.08;105532;225200664;90229888;32.97;147559204;89204344
axle;14230;1415236558;25148172;238971384;90.48;227748;218699880;81685272;29.85;146440728;83009472
axle;60;1415236618;41034432;223085124;84.46;228132;202533036;90687008;33.14;136051460;77669648
axle;60;1415236678;35767604;228351952;86.46;228488;207905232;90605660;33.11;140916004;78066796
axle;60;1415236738;33999684;230119872;87.13;228724;209887440;90417816;33.04;142966100;77811096
axle;60;1415236798;32211132;231908424;87.80;229104;211776608;90314988;33.00;145103212;77460768
axle;60;1415236858;30220672;233898884;88.56;229416;213772980;90297492;32.99;147466120;77098008
axle;60;1415236918;28387800;235731756;89.25;229660;214651128;91421784;33.40;149323084;77052336
axle;60;1415236978;26532280;237587276;89.95;229840;215614120;92138820;33.67;150458532;77790916
axle;60;1415237038;25715008;238404548;90.26;230076;216974308;91699616;33.51;150159584;78899432
axle;60;1415237098;14796040;249323516;94.40;230228;218964300;100410764;36.69;158887196;81116564
axle;60;1415237158;17664720;246454836;93.31;230632;222139924;94353456;34.48;153093436;84040512
axle;60;1415237218;16497672;247621884;93.75;230820;223304020;94369652;34.48;153324564;84974096
axle;60;1415237278;15239936;248879620;94.23;231024;224563084;94385960;34.49;153626724;85930980
axle;60;1415237338;16552696;247566860;93.73;231276;225613180;92049800;33.63;151922592;86321320
