# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415221487;0.00;0.00
axle;60;1415221547;0.00;0.00
axle;60;1415221607;0.00;0.00
axle;60;1415221667;0.00;0.00
axle;60;1415221727;0.00;0.00
axle;60;1415221787;0.00;0.00
axle;60;1415221847;0.00;0.00
axle;60;1415221907;0.00;0.00
axle;60;1415221967;0.00;0.00
axle;60;1415222027;0.00;0.00
axle;60;1415222087;0.00;0.00
axle;60;1415222147;0.00;0.00
axle;60;1415222207;0.00;0.00
axle;60;1415222267;0.00;0.00
axle;60;1415222327;0.00;0.00
axle;14230;1415236558;0.01;42.67
axle;60;1415236618;0.00;0.00
axle;60;1415236678;0.00;0.00
axle;60;1415236738;0.00;0.00
axle;60;1415236798;0.00;0.00
axle;60;1415236858;0.00;0.00
axle;60;1415236918;0.00;0.00
axle;60;1415236978;0.00;0.00
axle;60;1415237038;0.00;0.00
axle;60;1415237098;0.00;349.27
axle;60;1415237158;0.00;0.00
axle;60;1415237218;0.00;0.00
axle;60;1415237278;0.00;0.00
axle;60;1415237338;0.00;0.00
