task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-06 01:16:07.77907,2014-11-06 01:29:51.543858,00:13:43.764788,823.764788
PERF,2014-11-06 01:29:51.563992,,,
PERF.POWER,2014-11-06 01:29:55.35725,2014-11-06 01:42:48.03337,00:12:52.67612,772.67612
PERF.POWER.Q1,2014-11-06 01:38:19.052551,2014-11-06 01:39:38.471041,00:01:19.41849,79.41849
PERF.POWER.Q10,2014-11-06 01:39:38.493322,2014-11-06 01:40:01.887009,00:00:23.393687,23.393687
PERF.POWER.Q11,2014-11-06 01:38:00.734646,2014-11-06 01:38:03.630595,00:00:02.895949,2.895949
PERF.POWER.Q12,2014-11-06 01:41:47.917927,2014-11-06 01:42:11.046954,00:00:23.129027,23.129027
PERF.POWER.Q13,2014-11-06 01:35:12.673321,2014-11-06 01:35:44.590968,00:00:31.917647,31.917647
PERF.POWER.Q14,2014-11-06 01:30:09.589329,2014-11-06 01:30:17.416962,00:00:07.827633,7.827633
PERF.POWER.Q15,2014-11-06 01:38:03.653657,2014-11-06 01:38:19.028149,00:00:15.374492,15.374492
PERF.POWER.Q16,2014-11-06 01:36:31.783202,2014-11-06 01:37:06.941471,00:00:35.158269,35.158269
PERF.POWER.Q17,2014-11-06 01:32:30.038024,2014-11-06 01:32:30.475536,00:00:00.437512,0.437512
PERF.POWER.Q18,2014-11-06 01:32:30.49627,2014-11-06 01:33:43.527948,00:01:13.031678,73.031678
PERF.POWER.Q19,2014-11-06 01:40:01.910484,2014-11-06 01:40:02.74332,00:00:00.832836,0.832836
PERF.POWER.Q2,2014-11-06 01:30:17.438958,2014-11-06 01:30:23.959631,00:00:06.520673,6.520673
PERF.POWER.Q20,2014-11-06 01:32:06.529012,2014-11-06 01:32:15.056293,00:00:08.527281,8.527281
PERF.POWER.Q21,2014-11-06 01:33:56.575905,2014-11-06 01:35:12.649162,00:01:16.073257,76.073257
PERF.POWER.Q22,2014-11-06 01:36:22.494881,2014-11-06 01:36:31.762359,00:00:09.267478,9.267478
PERF.POWER.Q3,2014-11-06 01:35:44.614948,2014-11-06 01:36:22.472938,00:00:37.85799,37.85799
PERF.POWER.Q4,2014-11-06 01:37:06.963437,2014-11-06 01:38:00.710244,00:00:53.746807,53.746807
PERF.POWER.Q5,2014-11-06 01:40:02.764631,2014-11-06 01:41:04.723442,00:01:01.958811,61.958811
PERF.POWER.Q6,2014-11-06 01:32:15.078188,2014-11-06 01:32:30.014575,00:00:14.936387,14.936387
PERF.POWER.Q7,2014-11-06 01:41:04.744485,2014-11-06 01:41:47.893608,00:00:43.149123,43.149123
PERF.POWER.Q8,2014-11-06 01:33:43.54931,2014-11-06 01:33:56.554719,00:00:13.005409,13.005409
PERF.POWER.Q9,2014-11-06 01:30:23.982522,2014-11-06 01:32:06.508286,00:01:42.525764,102.525764
PERF.POWER.RF1,2014-11-06 01:29:55.372158,2014-11-06 01:30:09.563127,00:00:14.190969,14.190969
PERF.POWER.RF2,2014-11-06 01:42:11.064691,2014-11-06 01:42:48.016161,00:00:36.95147,36.95147
PERF.THRUPUT,2014-11-06 01:42:52.093298,2014-11-06 02:04:05.686546,00:21:13.593248,1273.593248
PERF.THRUPUT.QS1.ALL,2014-11-06 01:42:52.715589,2014-11-06 02:03:35.750973,00:20:43.035384,1243.035384
PERF.THRUPUT.QS1.Q1,2014-11-06 02:00:11.801924,2014-11-06 02:02:03.399094,00:01:51.59717,111.59717
