# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1415222393;0.00;0.00
axle;60;1415222453;0.00;0.00
axle;60;1415222513;0.00;0.00
axle;60;1415222573;0.00;0.00
axle;60;1415222633;0.00;0.00
axle;60;1415222693;0.00;0.00
axle;60;1415222753;0.00;0.00
axle;60;1415222813;0.00;0.00
axle;60;1415222873;0.00;0.00
axle;60;1415222933;0.00;0.00
axle;60;1415222993;0.00;0.00
axle;60;1415223053;0.00;0.00
axle;14342;1415237395;0.01;43.80
axle;60;1415237455;0.00;0.00
axle;60;1415237515;0.00;0.00
axle;60;1415237575;0.00;0.00
axle;60;1415237635;0.00;0.00
axle;60;1415237695;0.00;0.00
axle;60;1415237755;0.00;0.00
axle;60;1415237815;0.00;0.00
axle;60;1415237875;0.00;0.00
axle;60;1415237935;0.00;0.00
axle;60;1415237995;0.00;0.00
axle;60;1415238055;0.00;0.00
axle;60;1415238115;0.00;0.00
