# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415222393;15849864;248269692;94.00;105840;227413864;90549752;33.09;145302584;93908416
axle;60;1415222453;12574348;251545208;95.24;105980;230135976;91109192;33.29;146552288;95926848
axle;60;1415222513;12051164;252068392;95.44;106176;230407096;91304692;33.36;155159688;87835692
axle;60;1415222573;12688500;251431056;95.20;106304;230773292;90271708;32.98;154959052;87406500
axle;60;1415222633;10491976;253627580;96.03;106480;231843420;91374500;33.39;157262132;87259008
axle;60;1415222693;12098824;252020732;95.42;106644;231249628;90452860;33.05;156821144;86124660
axle;60;1415222753;11940548;252179008;95.48;106808;231512436;90352664;33.01;156961360;86141860
axle;60;1415222813;10811736;253307820;95.91;106964;231759196;91260560;33.35;158780240;85437536
axle;60;1415222873;11568032;252551524;95.62;107136;232001488;90206348;32.96;158132616;85339856
axle;60;1415222933;10869904;253249652;95.88;107300;232248168;90677252;33.13;158790344;85370868
axle;60;1415222993;10911520;253208036;95.87;107600;232494080;90389732;33.03;159098724;85008396
axle;60;1415223053;10169528;253950028;96.15;107752;232738136;90896016;33.21;159896300;84946144
axle;14342;1415237395;22286580;241832976;91.56;231524;221735164;90212320;32.96;145639960;86873664
axle;60;1415237455;15556336;248563220;94.11;231696;228139908;90637048;33.12;147636476;91598544
axle;60;1415237515;12466960;251652596;95.28;231836;230650120;91209680;33.33;148881920;93422524
axle;60;1415237575;11993860;252125696;95.46;231996;230915012;91357624;33.38;157596772;85194660
axle;60;1415237635;12680308;251439248;95.20;232148;231196972;90368216;33.02;157276040;84828820
axle;60;1415237695;10040156;254079400;96.20;232300;232751148;91390876;33.39;159464948;85278188
axle;60;1415237755;12098244;252021312;95.42;232504;231723940;90411472;33.03;159119144;83562864
axle;60;1415237815;11848396;252271160;95.51;232664;231986448;90461664;33.05;159364460;83573700
axle;60;1415237875;9557656;254561900;96.38;232832;232251416;92457176;33.78;162456248;82765396
axle;60;1415237935;11477460;252642096;95.65;232996;232521208;90313672;33.00;160556108;82749996
axle;60;1415237995;10648560;253470996;95.97;233176;232783528;90884104;33.21;161580560;82545792
axle;60;1415238055;10805768;253313788;95.91;233368;233046436;90425216;33.04;161612600;82361688
axle;60;1415238115;9636840;254482716;96.35;233540;233312028;91299620;33.36;163041720;82113476
