Linux 3.11.0-17-generic (axle) 	06/11/14 	_x86_64_	(64 CPU)

01:29:55        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:30:55        all      2.95      0.00      0.43      0.00      0.00     96.62
01:31:55        all      3.16      0.00      0.22      0.02      0.00     96.61
01:32:55        all      2.90      0.00      0.55      0.01      0.00     96.54
01:33:55        all      3.12      0.00      0.29      0.00      0.00     96.59
01:34:55        all      3.03      0.00      0.37      0.01      0.00     96.60
01:35:55        all      3.10      0.00      0.29      0.00      0.00     96.60
01:36:55        all      3.09      0.00      0.30      0.00      0.00     96.61
01:37:55        all      3.01      0.00      0.37      0.00      0.00     96.62
01:38:55        all      3.06      0.00      0.35      0.00      0.00     96.59
01:39:55        all      3.03      0.00      0.36      0.01      0.00     96.60
01:40:55        all      3.07      0.00      0.33      0.00      0.00     96.60
01:41:55        all      2.95      0.00      0.46      0.00      0.00     96.58
